epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0471,1.50952,2.65156,1.29667,0.80463,0.76112,0.87469,0.51834,1.41904,1.12538,1.21543,0.00022848,0.00022848,0.00022848
2,53.2765,1.27822,0.99993,1.10654,0.8591,0.83606,0.88455,0.50115,1.40676,0.91692,1.22402,0.000459505,0.000459505,0.000459505
3,74.6201,1.26407,0.83786,1.12415,0.86502,0.87003,0.91857,0.53093,1.36489,0.90481,1.28139,0.000685866,0.000685866,0.000685866
4,100.738,1.25233,0.77912,1.13045,0.94376,0.91803,0.96148,0.57887,1.34186,0.76117,1.29505,0.000692794,0.000692794,0.000692794
5,125.617,1.22292,0.69651,1.13325,0.93378,0.91528,0.94024,0.54896,1.38869,0.73145,1.2988,0.000685726,0.000685726,0.000685726
6,146.788,1.25119,0.70066,1.1538,0.93362,0.93247,0.95539,0.5763,1.31669,0.70321,1.23788,0.000678657,0.000678657,0.000678657
7,168.077,1.21873,0.65491,1.12997,0.91367,0.87011,0.93761,0.55587,1.36114,0.77292,1.27811,0.000671588,0.000671588,0.000671588
8,189.247,1.19083,0.62967,1.12065,0.95201,0.93608,0.95764,0.58897,1.30467,0.64271,1.23025,0.00066452,0.00066452,0.00066452
9,221.771,1.20089,0.63438,1.125,0.94634,0.9341,0.96032,0.59033,1.31131,0.63148,1.26678,0.000657451,0.000657451,0.000657451
10,254.862,1.19116,0.62122,1.13413,0.95543,0.90388,0.94315,0.579,1.32536,0.6382,1.25533,0.000650383,0.000650383,0.000650383
11,284.011,1.18608,0.61153,1.12407,0.93971,0.8661,0.9414,0.58225,1.32384,0.67945,1.24071,0.000643314,0.000643314,0.000643314
12,313.601,1.20618,0.61021,1.1351,0.94257,0.94163,0.96499,0.59355,1.34009,0.59687,1.26879,0.000636245,0.000636245,0.000636245
13,357.361,1.18043,0.58334,1.11723,0.94802,0.95358,0.96699,0.60737,1.28506,0.56941,1.2257,0.000629177,0.000629177,0.000629177
14,401.903,1.18381,0.58918,1.11949,0.95984,0.92631,0.95639,0.60254,1.29886,0.60984,1.22269,0.000622108,0.000622108,0.000622108
15,429.253,1.17212,0.58892,1.115,0.96374,0.92799,0.96252,0.61499,1.27905,0.5903,1.22473,0.00061504,0.00061504,0.00061504
16,473.556,1.16895,0.57355,1.13073,0.95625,0.95044,0.96419,0.59803,1.30551,0.56967,1.25983,0.000607971,0.000607971,0.000607971
17,504.802,1.17071,0.56616,1.12401,0.9655,0.94445,0.97072,0.61373,1.31022,0.56808,1.24815,0.000600902,0.000600902,0.000600902
18,536.96,1.15034,0.56752,1.10317,0.95582,0.94215,0.96568,0.60825,1.30754,0.57392,1.22976,0.000593834,0.000593834,0.000593834
19,568.057,1.14933,0.56672,1.11057,0.95876,0.94422,0.968,0.61942,1.28393,0.56215,1.23757,0.000586765,0.000586765,0.000586765
20,610.746,1.15682,0.55355,1.10737,0.96224,0.93783,0.9665,0.6149,1.28913,0.57165,1.2244,0.000579697,0.000579697,0.000579697
21,636.403,1.15191,0.54627,1.11634,0.95467,0.95505,0.9694,0.59546,1.32463,0.53606,1.26327,0.000572628,0.000572628,0.000572628
22,669.626,1.13942,0.53165,1.09226,0.95829,0.94999,0.96114,0.59494,1.32204,0.56824,1.26972,0.000565559,0.000565559,0.000565559
23,703.178,1.14776,0.55596,1.11231,0.96061,0.95038,0.9675,0.61517,1.28661,0.56322,1.23911,0.000558491,0.000558491,0.000558491
24,735.874,1.14333,0.53475,1.10997,0.96337,0.95439,0.97014,0.61728,1.27834,0.55152,1.22796,0.000551422,0.000551422,0.000551422
25,767.602,1.14668,0.5465,1.11898,0.96241,0.93058,0.95549,0.59075,1.3832,0.60269,1.2982,0.000544354,0.000544354,0.000544354
26,799.605,1.1223,0.53186,1.1059,0.95038,0.94129,0.96166,0.59519,1.32115,0.56597,1.26976,0.000537285,0.000537285,0.000537285
27,831.918,1.1347,0.52661,1.10771,0.96915,0.93286,0.96797,0.61325,1.28849,0.56402,1.24909,0.000530216,0.000530216,0.000530216
28,865.099,1.15268,0.53041,1.11935,0.9782,0.95999,0.97246,0.6321,1.25901,0.51026,1.23228,0.000523148,0.000523148,0.000523148
29,901.903,1.12301,0.51212,1.10384,0.97292,0.9554,0.97028,0.61313,1.27624,0.52438,1.25038,0.000516079,0.000516079,0.000516079
30,933.743,1.13569,0.53871,1.1199,0.95794,0.94868,0.96803,0.59985,1.33758,0.55847,1.29488,0.000509011,0.000509011,0.000509011
31,967.312,1.13477,0.52776,1.10844,0.97154,0.94723,0.96516,0.60882,1.32596,0.55242,1.25948,0.000501942,0.000501942,0.000501942
32,994.755,1.1089,0.50883,1.10112,0.97288,0.94484,0.96911,0.62041,1.28869,0.54283,1.24683,0.000494873,0.000494873,0.000494873
33,1024,1.10982,0.51704,1.1083,0.97216,0.95708,0.97208,0.62022,1.28719,0.50794,1.25117,0.000487805,0.000487805,0.000487805
34,1056.83,1.10477,0.49785,1.10715,0.97416,0.96051,0.9746,0.61812,1.30623,0.51547,1.26875,0.000480736,0.000480736,0.000480736
35,1084.4,1.10365,0.50446,1.08996,0.97407,0.95785,0.97564,0.62458,1.28319,0.51461,1.24842,0.000473668,0.000473668,0.000473668
36,1113.72,1.10564,0.49105,1.09632,0.97713,0.9564,0.97598,0.62878,1.27064,0.49726,1.2468,0.000466599,0.000466599,0.000466599
37,1142.73,1.08202,0.48023,1.08911,0.97258,0.96451,0.97538,0.63499,1.27052,0.50539,1.24428,0.00045953,0.00045953,0.00045953
38,1180.47,1.08226,0.48681,1.09253,0.97182,0.96595,0.97663,0.6283,1.29263,0.49994,1.25907,0.000452462,0.000452462,0.000452462
39,1206.13,1.08596,0.48329,1.09914,0.98227,0.96177,0.96898,0.61931,1.29004,0.512,1.25728,0.000445393,0.000445393,0.000445393
40,1233.64,1.08836,0.48045,1.10296,0.98127,0.96496,0.97459,0.62504,1.27898,0.48434,1.24954,0.000438325,0.000438325,0.000438325
41,1265.5,1.06827,0.47861,1.09264,0.96949,0.9587,0.97381,0.6275,1.28567,0.50587,1.25919,0.000431256,0.000431256,0.000431256
42,1293.94,1.0753,0.48515,1.09787,0.97664,0.96423,0.97294,0.62576,1.28497,0.49165,1.25141,0.000424187,0.000424187,0.000424187
43,1323.37,1.07386,0.48099,1.09592,0.96853,0.95717,0.97448,0.6254,1.28038,0.49208,1.24964,0.000417119,0.000417119,0.000417119
44,1354.93,1.0707,0.47962,1.09697,0.97365,0.96186,0.97607,0.62645,1.29866,0.49687,1.27432,0.00041005,0.00041005,0.00041005
45,1385.23,1.07172,0.47519,1.08675,0.97167,0.96491,0.97394,0.61942,1.29676,0.49855,1.26415,0.000402982,0.000402982,0.000402982
46,1413.89,1.06273,0.48202,1.08165,0.97427,0.95228,0.974,0.62935,1.28414,0.49495,1.25433,0.000395913,0.000395913,0.000395913
47,1444.88,1.05684,0.46776,1.08281,0.97101,0.96172,0.97452,0.63007,1.28111,0.48606,1.25737,0.000388844,0.000388844,0.000388844
48,1471.45,1.05627,0.46161,1.09477,0.97859,0.95297,0.9701,0.62926,1.28063,0.49512,1.25087,0.000381776,0.000381776,0.000381776
49,1498.16,1.04102,0.46577,1.0746,0.97383,0.9606,0.97612,0.63271,1.26741,0.49133,1.24897,0.000374707,0.000374707,0.000374707
50,1531.1,1.04701,0.45571,1.0833,0.97901,0.95186,0.97315,0.6277,1.28716,0.50363,1.26034,0.000367639,0.000367639,0.000367639
51,1557.96,1.04572,0.46206,1.08906,0.97285,0.9568,0.96953,0.63052,1.27859,0.49914,1.26416,0.00036057,0.00036057,0.00036057
52,1584.94,1.04476,0.47047,1.08181,0.98152,0.95835,0.97189,0.62689,1.27025,0.48334,1.25897,0.000353501,0.000353501,0.000353501
53,1613.18,1.04169,0.46824,1.08062,0.97476,0.95999,0.97549,0.62485,1.27635,0.48561,1.25255,0.000346433,0.000346433,0.000346433
54,1641.25,1.02057,0.44993,1.07071,0.97626,0.96414,0.97398,0.62653,1.28866,0.487,1.2715,0.000339364,0.000339364,0.000339364
55,1668.82,1.00484,0.44902,1.06896,0.9786,0.95921,0.97139,0.63149,1.28893,0.4937,1.27295,0.000332296,0.000332296,0.000332296
