epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3693,1.47219,4.03932,1.1811,0.0207,0.7566,0.09832,0.05308,1.3078,3.81908,0.99684,0.00022848,0.00022848,0.00022848
2,46.3257,1.33882,2.75849,1.05607,0.02104,0.75779,0.21575,0.11356,1.3364,3.58413,1.09442,0.000459505,0.000459505,0.000459505
3,56.0464,1.3289,1.82689,1.09432,0.73675,0.23544,0.58419,0.34377,1.33005,2.37445,1.08065,0.000685866,0.000685866,0.000685866
4,66.4044,1.29889,1.44596,1.08953,0.77138,0.66045,0.79523,0.47176,1.34965,1.51278,1.14195,0.000692794,0.000692794,0.000692794
5,76.9309,1.23234,1.16662,1.08648,0.86877,0.80313,0.90132,0.54644,1.33533,1.10211,1.15109,0.000685726,0.000685726,0.000685726
6,87.5172,1.24908,1.07503,1.10336,0.90226,0.8527,0.92868,0.56753,1.33678,1.02596,1.12845,0.000678657,0.000678657,0.000678657
7,98.0753,1.22646,0.99943,1.10066,0.94144,0.86641,0.94883,0.58166,1.32322,0.83647,1.16416,0.000671588,0.000671588,0.000671588
8,108.21,1.21017,0.95253,1.10457,0.90934,0.90493,0.95884,0.58212,1.30432,0.80978,1.17424,0.00066452,0.00066452,0.00066452
9,118.236,1.21299,0.90704,1.09405,0.94945,0.91941,0.96041,0.59639,1.2984,0.73104,1.16197,0.000657451,0.000657451,0.000657451
10,128.675,1.20162,0.88632,1.10183,0.94431,0.91313,0.96214,0.59514,1.288,0.73738,1.17596,0.000650383,0.000650383,0.000650383
11,139.352,1.19762,0.86442,1.10031,0.95514,0.92265,0.96089,0.59439,1.31721,0.71554,1.17081,0.000643314,0.000643314,0.000643314
12,149.899,1.20706,0.86083,1.10307,0.95507,0.93397,0.96891,0.61121,1.27915,0.7007,1.15013,0.000636245,0.000636245,0.000636245
13,159.802,1.19036,0.83637,1.09229,0.95256,0.92411,0.96249,0.60418,1.29126,0.69698,1.15947,0.000629177,0.000629177,0.000629177
14,169.833,1.19398,0.82879,1.09691,0.96497,0.90946,0.96291,0.59902,1.29557,0.6648,1.1509,0.000622108,0.000622108,0.000622108
15,180.394,1.182,0.81441,1.09092,0.94818,0.94016,0.96383,0.60414,1.29164,0.68161,1.16995,0.00061504,0.00061504,0.00061504
16,190.948,1.16229,0.79312,1.10127,0.96581,0.93589,0.97046,0.60562,1.28341,0.64239,1.15775,0.000607971,0.000607971,0.000607971
17,201.412,1.18464,0.79602,1.09991,0.96446,0.93927,0.96599,0.594,1.30919,0.66373,1.18039,0.000600902,0.000600902,0.000600902
18,211.162,1.16204,0.76969,1.08427,0.95835,0.94343,0.96802,0.60317,1.308,0.64687,1.16073,0.000593834,0.000593834,0.000593834
19,221.131,1.1583,0.76201,1.08786,0.95878,0.93614,0.96955,0.61338,1.28508,0.65624,1.14668,0.000586765,0.000586765,0.000586765
20,231.702,1.16453,0.75001,1.0896,0.96317,0.93366,0.96749,0.59386,1.32814,0.66135,1.17212,0.000579697,0.000579697,0.000579697
21,242.125,1.15863,0.74583,1.09775,0.95018,0.93824,0.96618,0.60409,1.29159,0.63291,1.1579,0.000572628,0.000572628,0.000572628
22,252.648,1.14591,0.71912,1.07827,0.95844,0.94304,0.96945,0.61561,1.26821,0.62514,1.15251,0.000565559,0.000565559,0.000565559
23,264.118,1.15667,0.73226,1.09196,0.95058,0.92938,0.96382,0.59055,1.33879,0.68745,1.17818,0.000558491,0.000558491,0.000558491
24,273.698,1.14216,0.70324,1.08313,0.96244,0.94322,0.96832,0.6136,1.28849,0.62208,1.15553,0.000551422,0.000551422,0.000551422
25,284.228,1.15661,0.71807,1.09322,0.955,0.94174,0.97029,0.60367,1.3096,0.63769,1.15881,0.000544354,0.000544354,0.000544354
26,294.914,1.12886,0.69607,1.07735,0.95879,0.94401,0.9707,0.60256,1.30685,0.63549,1.16631,0.000537285,0.000537285,0.000537285
27,305.555,1.14186,0.68643,1.0803,0.97,0.94682,0.97389,0.61229,1.28767,0.60013,1.16906,0.000530216,0.000530216,0.000530216
28,316.165,1.15239,0.68396,1.09311,0.96857,0.95154,0.97286,0.60716,1.28756,0.59799,1.16801,0.000523148,0.000523148,0.000523148
29,325.598,1.13671,0.67329,1.08818,0.96028,0.95362,0.97547,0.61519,1.27215,0.60062,1.15737,0.000516079,0.000516079,0.000516079
30,336.245,1.14004,0.69476,1.09706,0.96842,0.94209,0.97305,0.59885,1.31045,0.6125,1.19135,0.000509011,0.000509011,0.000509011
31,346.921,1.13523,0.66736,1.08329,0.96555,0.93846,0.96962,0.58077,1.36474,0.61719,1.205,0.000501942,0.000501942,0.000501942
32,357.439,1.128,0.65217,1.08358,0.96589,0.951,0.97512,0.60933,1.30075,0.59833,1.17001,0.000494873,0.000494873,0.000494873
33,367.869,1.12478,0.65409,1.08171,0.96119,0.94064,0.97495,0.61666,1.28077,0.59926,1.1553,0.000487805,0.000487805,0.000487805
34,377.395,1.13111,0.64839,1.09111,0.96856,0.94449,0.97191,0.61549,1.26288,0.57836,1.15005,0.000480736,0.000480736,0.000480736
35,387.844,1.13323,0.64195,1.07499,0.96282,0.94602,0.97387,0.60555,1.30996,0.58615,1.17984,0.000473668,0.000473668,0.000473668
36,398.603,1.1334,0.627,1.07837,0.96577,0.94157,0.97401,0.61516,1.28149,0.57296,1.16198,0.000466599,0.000466599,0.000466599
37,409.214,1.10679,0.61029,1.07177,0.96527,0.94267,0.97205,0.61601,1.2888,0.57466,1.16188,0.00045953,0.00045953,0.00045953
38,419.64,1.10051,0.62341,1.0729,0.96196,0.94714,0.97131,0.61679,1.28585,0.56419,1.16824,0.000452462,0.000452462,0.000452462
39,429.257,1.10464,0.62336,1.07668,0.9691,0.94792,0.97072,0.60208,1.3223,0.58528,1.18999,0.000445393,0.000445393,0.000445393
40,439.71,1.09566,0.60573,1.07192,0.96873,0.93941,0.96912,0.60562,1.32212,0.58499,1.16526,0.000438325,0.000438325,0.000438325
41,450.207,1.09457,0.61027,1.06816,0.96688,0.94225,0.97244,0.61463,1.28527,0.57438,1.16719,0.000431256,0.000431256,0.000431256
42,460.367,1.09689,0.62252,1.07028,0.95398,0.95603,0.96697,0.59505,1.33583,0.57517,1.19972,0.000424187,0.000424187,0.000424187
43,470.891,1.10224,0.61913,1.07516,0.95907,0.9494,0.97231,0.60544,1.29058,0.56217,1.17708,0.000417119,0.000417119,0.000417119
44,480.362,1.09908,0.61031,1.07553,0.95991,0.94456,0.96864,0.60126,1.29472,0.57532,1.17145,0.00041005,0.00041005,0.00041005
45,490.94,1.10081,0.5942,1.07229,0.96548,0.94228,0.97148,0.61167,1.29398,0.57362,1.16385,0.000402982,0.000402982,0.000402982
46,501.293,1.09975,0.59404,1.06671,0.96823,0.94274,0.97225,0.61364,1.28038,0.55716,1.16027,0.000395913,0.000395913,0.000395913
47,511.554,1.08348,0.58317,1.06303,0.96775,0.95069,0.97477,0.61157,1.28276,0.54977,1.17226,0.000388844,0.000388844,0.000388844
48,521.733,1.08756,0.58497,1.07472,0.96475,0.95389,0.97412,0.61854,1.27902,0.55443,1.16389,0.000381776,0.000381776,0.000381776
49,531.176,1.07672,0.58605,1.05902,0.9726,0.95129,0.9739,0.61161,1.2965,0.55555,1.1742,0.000374707,0.000374707,0.000374707
50,541.601,1.07569,0.57404,1.06051,0.96685,0.94551,0.97431,0.61393,1.28058,0.5498,1.16379,0.000367639,0.000367639,0.000367639
51,551.915,1.06743,0.56952,1.0624,0.9716,0.93474,0.97438,0.61624,1.28632,0.54927,1.16167,0.00036057,0.00036057,0.00036057
52,562.653,1.06815,0.58486,1.05631,0.96875,0.94097,0.97123,0.60465,1.3087,0.56386,1.17711,0.000353501,0.000353501,0.000353501
53,572.997,1.06999,0.57791,1.06079,0.96511,0.95203,0.9737,0.61126,1.29359,0.55328,1.17385,0.000346433,0.000346433,0.000346433
54,582.903,1.05239,0.55968,1.05148,0.96848,0.94856,0.97392,0.60735,1.30041,0.55285,1.17598,0.000339364,0.000339364,0.000339364
55,593.47,1.04638,0.56569,1.0546,0.96634,0.94826,0.97103,0.60693,1.292,0.55491,1.17838,0.000332296,0.000332296,0.000332296
56,603.857,1.06125,0.56851,1.04781,0.96588,0.94514,0.97071,0.61387,1.28802,0.55932,1.16467,0.000325227,0.000325227,0.000325227
57,614.495,1.04902,0.55499,1.05894,0.96494,0.94198,0.97151,0.61267,1.27574,0.56147,1.15971,0.000318158,0.000318158,0.000318158
58,625.053,1.05927,0.55343,1.05709,0.97079,0.94483,0.97275,0.61656,1.29318,0.56677,1.16445,0.00031109,0.00031109,0.00031109
