epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5164,1.56053,3.10734,1.38499,0.66329,0.7223,0.73356,0.42904,1.39167,2.02317,1.33673,0.00022848,0.00022848,0.00022848
2,39.1444,1.30423,1.17885,1.22372,0.88454,0.81427,0.91434,0.5167,1.44572,0.99636,1.36386,0.000459505,0.000459505,0.000459505
3,51.0806,1.26631,0.8797,1.20186,0.90491,0.90644,0.94535,0.5367,1.44168,0.77362,1.37157,0.000685866,0.000685866,0.000685866
4,63.4965,1.24753,0.79473,1.19006,0.8665,0.89328,0.92546,0.52564,1.42169,0.81343,1.38779,0.000692794,0.000692794,0.000692794
5,75.6706,1.212,0.71512,1.19356,0.92504,0.90515,0.9492,0.57305,1.34651,0.70734,1.32989,0.000685726,0.000685726,0.000685726
6,88.0143,1.24579,0.70397,1.20594,0.95334,0.93454,0.96474,0.58759,1.32299,0.63777,1.28666,0.000678657,0.000678657,0.000678657
7,100.443,1.2055,0.66271,1.1886,0.95491,0.93825,0.96687,0.58976,1.33434,0.63213,1.29432,0.000671588,0.000671588,0.000671588
8,113.214,1.18951,0.63921,1.19165,0.91681,0.91578,0.95001,0.57877,1.34125,0.67549,1.31608,0.00066452,0.00066452,0.00066452
9,125.581,1.20102,0.63867,1.1829,0.95141,0.94142,0.96757,0.59486,1.31888,0.62538,1.29815,0.000657451,0.000657451,0.000657451
10,137.847,1.17901,0.62007,1.18845,0.96596,0.92763,0.96608,0.60066,1.27567,0.60998,1.28403,0.000650383,0.000650383,0.000650383
11,150.041,1.1758,0.61447,1.18105,0.95888,0.9453,0.96778,0.60295,1.30477,0.60157,1.29153,0.000643314,0.000643314,0.000643314
12,162.488,1.19561,0.61391,1.20026,0.94988,0.93356,0.97009,0.60454,1.32438,0.60491,1.32282,0.000636245,0.000636245,0.000636245
13,174.876,1.17562,0.58779,1.17999,0.9501,0.94034,0.96397,0.60619,1.29713,0.59256,1.29039,0.000629177,0.000629177,0.000629177
14,187.176,1.18186,0.59286,1.18512,0.96171,0.93451,0.96886,0.61478,1.29289,0.57819,1.28758,0.000622108,0.000622108,0.000622108
15,199.562,1.17011,0.58775,1.18218,0.96904,0.93847,0.96455,0.61645,1.29519,0.5855,1.28364,0.00061504,0.00061504,0.00061504
16,211.824,1.15591,0.57104,1.18722,0.97942,0.93874,0.97057,0.60823,1.29691,0.562,1.29209,0.000607971,0.000607971,0.000607971
17,223.912,1.16388,0.57167,1.18296,0.96134,0.94441,0.96858,0.61302,1.28865,0.55289,1.29274,0.000600902,0.000600902,0.000600902
18,235.725,1.1365,0.55645,1.16595,0.95017,0.95364,0.96702,0.62408,1.26964,0.55489,1.28115,0.000593834,0.000593834,0.000593834
19,247.616,1.13371,0.56064,1.17419,0.96649,0.94777,0.97415,0.60611,1.31766,0.54674,1.32014,0.000586765,0.000586765,0.000586765
20,259.787,1.14331,0.55636,1.17697,0.95062,0.94986,0.97444,0.61732,1.26502,0.54654,1.28442,0.000579697,0.000579697,0.000579697
21,271.921,1.14707,0.55094,1.18245,0.96649,0.95519,0.96893,0.60303,1.31826,0.57124,1.31099,0.000572628,0.000572628,0.000572628
22,284.263,1.13209,0.53504,1.15387,0.97698,0.94443,0.96757,0.63051,1.26912,0.54786,1.27331,0.000565559,0.000565559,0.000565559
23,296.554,1.13502,0.55026,1.17372,0.97483,0.93516,0.96965,0.62787,1.27883,0.56985,1.29246,0.000558491,0.000558491,0.000558491
24,308.862,1.12294,0.52352,1.16373,0.9648,0.93979,0.96278,0.62015,1.28378,0.53865,1.2854,0.000551422,0.000551422,0.000551422
25,321.027,1.136,0.53735,1.17782,0.96906,0.94846,0.96829,0.61724,1.28955,0.5434,1.30166,0.000544354,0.000544354,0.000544354
26,333.219,1.11042,0.52551,1.15298,0.96416,0.95427,0.97247,0.61528,1.28672,0.52894,1.29792,0.000537285,0.000537285,0.000537285
27,345.605,1.13228,0.52533,1.16363,0.96186,0.96175,0.97281,0.61175,1.29099,0.52049,1.29475,0.000530216,0.000530216,0.000530216
28,358.104,1.13372,0.52057,1.16886,0.97085,0.94827,0.97089,0.61516,1.28223,0.54032,1.29984,0.000523148,0.000523148,0.000523148
29,370.433,1.12013,0.51564,1.15823,0.97517,0.94965,0.97239,0.6227,1.28255,0.53138,1.29208,0.000516079,0.000516079,0.000516079
